reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at
465847f2-317e-4bb3-bf05-ed628c2f9930,A Google user,❤️ ନାଇସ୍,1,0,351.0.0.41.106,2024-10-04 14:49:46
22180985-4648-417a-91ef-2324beb806e0,A Google user,Good 👍,1,0,350.1.0.46.93,2024-10-04 14:49:39
d93e355b-3a53-483a-acc6-5de64a574ec3,A Google user,If you want to ruin your life than congrats you have found an very interesting time wasting platform this app is for those peoples who are unemployed and jobless you can download if you have too much time,5,0,341.0.0.45.100,2024-10-04 14:49:32
91436417-d371-4a82-8905-57fa75385c8a,A Google user,Woohoo,4,0,346.0.0.45.104,2024-10-04 14:49:22
3d790891-6854-4633-ad27-b367717103d2,A Google user,👍,5,0,350.1.0.46.93,2024-10-04 14:49:15
c66f1544-3f64-432b-b2cf-cf7c61e3f498,A Google user,Best,5,0,351.0.0.41.106,2024-10-04 14:49:09
98a977de-5b4d-4e07-9981-a8e033a86714,A Google user,Its very very gooood,5,0,351.0.0.41.106,2024-10-04 14:49:08
0598bc1f-9436-4ccd-80c8-3526c77b7c2d,A Google user,I love it,5,0,351.0.0.41.106,2024-10-04 14:49:04
67a2d6df-9dc8-4a16-8622-b09a8735aff3,A Google user,Please 🥺 my Instagram problem slowed message unavailable this content may have been deleted by its owner or hidden by their privacy settings. Please solve my problem 😭🙏🏻 insta is good insta is my everything 🧠 🥺,1,0,351.0.0.41.106,2024-10-04 14:48:59
9529bad6-80a3-4d97-bfc3-97742379ff97,A Google user,Insta sent a reel not open my account,1,0,351.0.0.41.106,2024-10-04 14:48:46
bb7bff90-a301-45a4-b7c2-e10e74630e66,A Google user,Good,5,0,278.0.0.22.117,2024-10-04 14:48:46
6ce36749-393d-4e6e-a0fd-55958c5eb981,A Google user,"When I will receive message , message is unavailable coming",1,0,351.0.0.41.106,2024-10-04 14:48:43
3ebb4b4e-5fca-4705-b169-3b5c18aab404,A Google user,Nice,5,0,350.1.0.46.93,2024-10-04 14:48:38
da557516-9cb1-4912-a9b5-fc7bc28fec74,A Google user,Nice,5,0,351.0.0.41.106,2024-10-04 14:48:36
ffa44b49-4132-4679-97da-5844669fd45c,A Google user,ग्रेट,5,0,351.0.0.41.106,2024-10-04 14:48:30
29f6b5ad-3e05-408f-90d6-ce252f67c7f1,A Google user,This story unavailable,5,0,351.0.0.41.106,2024-10-04 14:48:25
25509ab3-6a7e-469e-8c2e-8ee4c6cc2102,A Google user,Good👍,5,0,351.0.0.41.106,2024-10-04 14:48:24
9613490d-b0f4-42fd-bc04-3f74a5b6d5c1,A Google user,Not bad,5,0,349.3.0.42.104,2024-10-04 14:48:23
572820f0-0cb0-48c9-8144-150c8e2b66b4,A Google user,Instagram very good,5,0,350.1.0.46.93,2024-10-04 14:48:22
dc4f76dc-abfd-4a61-b030-88abc30cee6c,A Google user,I want to grow my account.please help and sport's me,3,0,351.0.0.41.106,2024-10-04 14:48:16
1e90449e-3f73-40be-8dfe-de65967c1754,A Google user,Mariama Jallow,5,0,278.0.0.22.117,2024-10-04 14:48:09
a2b662d7-4d12-4583-9565-a1fe5b9fa860,A Google user,👍🏻,5,0,351.0.0.41.106,2024-10-04 14:48:04
bf7b552c-fa8d-40f0-bbb2-3178bd9a06c7,A Google user,Sir ji so much for thnx.....🫴🏻❤️‍🩹😌,5,0,351.0.0.41.106,2024-10-04 14:48:01
1524a3bb-a884-4408-bc0c-17d1a161c6a8,A Google user,Keeps crashing,1,0,351.0.0.41.106,2024-10-04 14:47:43
7924717c-247a-42e3-83a4-09b7530b8041,A Google user,Wow super nice 👍🙂,4,0,351.0.0.41.106,2024-10-04 14:47:41
ff423ae2-c14b-4728-87b9-4c10ca062cce,A Google user,Good job,1,0,348.0.0.46.105,2024-10-04 14:47:35
3ba61fd1-40ed-4621-ae93-59e09aa5c6c6,A Google user,Sat ha u Mog,1,0,348.0.0.46.105,2024-10-04 14:47:24
406c4f87-ab9b-4cf4-a1e1-5d397a3ab45c,A Google user,Nice aap,1,0,349.3.0.42.104,2024-10-04 14:47:20
b230ea70-9277-4cb0-a4d7-859d9ffeaf0d,A Google user,Fabulous 👌,5,0,351.0.0.41.106,2024-10-04 14:47:20
710da082-21d7-47b0-93ec-9e58da21fa69,A Google user,@akshyanshuranjan 💝,5,0,351.0.0.41.106,2024-10-04 14:46:57
79b7b779-df69-446c-836c-813419e9563d,A Google user,Good he,3,0,278.0.0.22.117,2024-10-04 14:46:56
a194f7cf-05d3-43e6-9e17-1af9e402eda0,A Google user,Exercise,5,0,351.0.0.41.106,2024-10-04 14:46:44
685705c3-a55e-4655-af73-4155c4199870,A Google user,❣️❣️❣️,4,0,341.0.0.45.100,2024-10-04 14:46:41
83228b30-e504-4cdb-89bc-193c1e9b1a5c,A Google user,🫶🫶🫶🫶🫶🫶🫶🫶,5,0,350.1.0.46.93,2024-10-04 14:46:33
1fc16194-12c3-43c6-acd8-497c90bd5579,A Google user,Fantastic,5,0,337.0.0.35.102,2024-10-04 14:46:23
572a8d04-0087-4034-afd8-10e652a2a7f4,A Google user,Awesome app to get connected with people But have one issue that even your content are good they pop msgs like it's unsensored that's s concern,4,0,351.0.0.41.106,2024-10-04 14:46:19
608c7cc4-59f6-4dde-8193-0393da165427,A Google user,Excellent 👌🏻,4,0,351.0.0.41.106,2024-10-04 14:46:10
de054d53-a77b-40b2-ada1-f22a9ddde785,A Google user,Useless app No girls messaging me...,1,0,351.0.0.41.106,2024-10-04 14:46:04
24922860-97e9-4af7-b74f-5a6b92da2876,A Google user,Good app in India,5,0,351.0.0.41.106,2024-10-04 14:45:54
e3ed6aaf-6fdc-4263-9e00-1d099d822b3f,A Google user,Nice,5,0,278.0.0.22.117,2024-10-04 14:45:51
59fa3e2a-08be-4a32-a7cd-fa0380c105ef,A Google user,Amazing,5,0,348.0.0.46.105,2024-10-04 14:45:46
f0d03ca0-76d3-4bba-96b2-0047fad4e5bb,A Google user,Very good,5,0,278.0.0.22.117,2024-10-04 14:45:45
7085a13d-226f-4ed1-931a-025846efd2d0,A Google user,Always network issue,1,0,351.0.0.41.106,2024-10-04 14:45:43
fb025b6f-c560-437d-ba29-405f2cb9d925,A Google user,It's good..but I am having some issues with uploading stories .it's not showing to me and I can't mention back because of this problem,3,0,351.0.0.41.106,2024-10-04 14:45:30
875416b4-e62c-4391-b5a7-a3d46a84f020,A Google user,Super ❤️🌹🌟🙏,5,0,350.1.0.46.93,2024-10-04 14:45:27
76d9323a-010b-4a48-981a-30426ce747fe,A Google user,The best app on earth,5,0,268.0.0.18.72,2024-10-04 14:45:22
0b0a5b90-16b4-49d3-9c43-0b2528a4e03f,A Google user,Ok,3,0,348.0.0.46.105,2024-10-04 14:45:14
a5cc11d5-e994-4624-b6a8-f7c172828e53,A Google user,Jao Or Grow Karo,5,0,264.0.0.22.106,2024-10-04 14:45:10
afd491f2-c0d4-4ed8-8aac-d5ea93eecaa0,A Google user,bkr app,1,0,349.3.0.42.104,2024-10-04 14:45:06
fd9e9a4e-a40d-449e-af67-13c289f6da8b,A Google user,𝑻𝒉𝒊𝒔 𝒂𝒑𝒑 𝒊𝒔 𝒗𝒆𝒓𝒚 𝒇𝒂𝒏𝒕𝒂𝒔𝒕𝒊𝒄 𝒂𝒏𝒅 𝒊𝒏𝒕𝒓𝒆𝒔𝒕𝒊𝒏𝒈 𝒊 𝒍𝒐𝒗𝒆 𝒕𝒉𝒊 𝒂𝒑𝒑 𝒊𝒕𝒔 𝒗𝒆𝒓𝒚 𝒍𝒐𝒗𝒆𝒍𝒚 𝒊 𝒍𝒐𝒗𝒆 𝒊𝒕,5,0,350.1.0.46.93,2024-10-04 14:45:05
c795ddd9-3ec8-4e9e-ba68-2f24826c4f9a,A Google user,Wonderful app liked it ..,4,0,351.0.0.41.106,2024-10-04 14:44:53
0de9d5a3-33dc-4dcf-ab75-692c7a2d15d8,A Google user,Wooo Wooo,5,0,278.0.0.22.117,2024-10-04 14:44:41
6b6e58cb-e8fa-4c17-9376-ed724319d3ef,A Google user,beautyful,5,0,351.0.0.41.106,2024-10-04 14:44:38
20b057ed-fcf9-4a5c-9415-08c5d2c5e0cc,A Google user,Very fine app 👍,5,0,350.1.0.46.93,2024-10-04 14:44:31
a933fe43-fc95-463f-89de-00b9fed8d3d7,A Google user,This app is very much good👍 at night to chat with my gf 🤫🤫,5,0,351.0.0.41.106,2024-10-04 14:44:23
d7b5e94f-4126-4822-a2c3-4cac5f505b7d,A Google user,Not updating,5,0,351.0.0.41.106,2024-10-04 14:44:23
aa370d58-963f-434e-b938-38ab566c65f7,A Google user,New features is not giveen in my Instagram account like if we want to keep reels in our story then in May account logo and stiker I'd not remove so that's the problem plz try to better,1,0,270.2.0.24.82,2024-10-04 14:44:17
0c5d1c07-6237-4eae-864a-a03424f725ee,A Google user,Fantastic 😍,5,0,337.0.0.35.102,2024-10-04 14:44:08
bdd15e40-97e8-4c49-a63a-098680c4a099,A Google user,Best app ever,5,0,351.0.0.41.106,2024-10-04 14:43:56
6a6b2a6c-20d2-498d-84a5-14056cf7e66e,A Google user,❤️👍👍,5,0,189.0.0.41.121,2024-10-04 14:43:34
febd02de-f374-43fa-b569-664673c6e9ea,A Google user,Instagram has gonna mad...alot of glitches are there..!! c'mon help it out!!,1,0,351.0.0.41.106,2024-10-04 14:43:10
acbaf716-cfa4-4f42-8815-f483c7ccd33b,A Google user,👌👍,5,0,349.3.0.42.104,2024-10-04 14:43:06
6be720b3-3930-4b40-bc15-0649f7fa4a7d,A Google user,Super app in the whole universe 🔥🔥😁✨,5,0,350.1.0.46.93,2024-10-04 14:43:01
e1c9f1fc-669d-4350-9c9b-d37b7e24754a,A Google user,My account not working properly,1,0,351.0.0.41.106,2024-10-04 14:42:52
043faa80-507a-498f-8c76-341ede23245d,A Google user,💗👍,5,0,337.0.0.35.102,2024-10-04 14:42:48
bcde5d2a-1282-4269-95a0-ae316461de39,A Google user,Ek number hai app very miracle app,5,0,333.0.0.42.91,2024-10-04 14:42:32
463b2e2a-4765-497e-b253-026bf4b22e97,A Google user,Nice app for couples 💗💗,5,0,350.1.0.46.93,2024-10-04 14:42:25
4dc6a824-f68c-41cc-b864-d93a739244f6,A Google user,Good,5,0,348.0.0.46.105,2024-10-04 14:42:20
a66a574a-cb08-4db4-b611-70800ce627e6,A Google user,Anu yadav,5,0,278.0.0.22.117,2024-10-04 14:42:12
81d70fa2-d9c7-4faa-94d3-e73179ceaecc,A Google user,instagram stories are unavailable and reels also removed today,2,0,351.0.0.41.106,2024-10-04 14:41:45
1038013f-953f-458c-a131-16aff9479b9e,A Google user,I will give zero to this app because every reel I send to someone it was showing message unavailable in every reel 😡😡😡🤬🤬,1,0,351.0.0.41.106,2024-10-04 14:41:44
fccfd68d-4ca9-438a-8194-ddb249a9750e,A Google user,There is some issue with stories,1,0,351.0.0.41.106,2024-10-04 14:41:42
11c47bf7-4cbc-4d88-a014-baa2f39dfb07,A Google user,"Bad app, since it's a social media, why you limit friend requests???? I got so many pending friends request since you have limitation. Kinda stupid apps.",1,0,351.0.0.41.106,2024-10-04 14:41:42
44fd553c-64d0-4b46-b5e6-32fee9851c49,A Google user,Excellent,5,0,351.0.0.41.106,2024-10-04 14:41:41
9b77701c-945f-4d00-9bfc-7e81067d2018,A Google user,Good app,3,0,351.0.0.41.106,2024-10-04 14:41:40
0b010a53-81d2-4a30-8d8d-994611a141cc,A Google user,Hey Instagram it is not highlighting the mentioned back plzzz help,2,0,341.0.0.45.100,2024-10-04 14:41:34
1fb379b5-0c3f-48bd-bccd-0ec58add1e82,A Google user,Instagram is the best app,5,0,278.0.0.22.117,2024-10-04 14:41:32
b9e78a48-5a68-44f7-84ef-98632f74f46b,A Google user,All the messages are shown as unavailable in every chat.. I'm facing this issue please solve this fast,2,0,351.0.0.41.106,2024-10-04 14:41:20
9ed32e07-c132-432b-95de-bed6a1d54ed0,A Google user,What happen to instagram whatever any reels is not coming to me all stories are unavailable to me what happen please check,1,0,351.0.0.41.106,2024-10-04 14:41:12
29331a0f-d895-4e85-b0bf-ba16f3a38307,A Google user,Nice,5,0,351.0.0.41.106,2024-10-04 14:41:05
21c5ea70-059f-48a7-935a-69f7713c8c24,A Google user,"I don't know what happened but I can't see others story, Instagram pls fix this bug. Thank you",1,0,351.0.0.41.106,2024-10-04 14:40:55
